name,first,last,initials,pos,tags
leslie nielsen,lsl,nlsn,ln,PN,famous
nancy olson,nc,lsn,no,PN,famous
joan plowright,jn,plwrght,jp,PN,famous
christopher plummer,chrstphr,plmr,cp,PN,famous
debbie reynolds,db,rnlds,dr,PN,famous
peter sellers,ptr,slrs,ps,PN,famous
jack warden,jck,wrdn,jw,PN,famous
mel brooks,ml,brks,mb,PN,famous
denholm elliott,dnhlm,lt,de,PN,famous
mitzi gaynor,mtz,gnr,mg,PN,famous
lee grant,l,grnt,lg,PN,famous
jack lemmon,jck,lmn,jl,PN,famous
mercedes mccambridge,mrcds,mcmbrdg,mm,PN,famous
max von sydow,mx,sdw,check,PN,famous
james whitmore,jms,whtmr,jw,PN,famous
woody allen,wd,ln,wa,PN,famous
jeff bridges,jf,brdgs,jb,PN,famous
charles bronson,chrls,brnsn,cb,PN,famous
michael caine,mchl,cn,mc,PN,famous
james dean,jms,dn,jd,PN,famous
nigel hawthorne,ngl,hwthrn,nh,PN,famous
tab hunter,tb,hntr,th,PN,famous
grace kelly,grc,kl,gk,PN,famous
piper laurie,pr,lr,pl,PN,famous
sophia loren,sph,lrn,sl,PN,famous
lee marvin,l,mrvn,lm,PN,famous
rita moreno,rt,mrn,rm,PN,famous
telly savalas,tl,svls,ts,PN,famous
kim stanley,km,stnl,ks,PN,famous
mamie van doren,m,drn,check,PN,famous
robert wagner,rbrt,wgnr,rw,PN,famous
anne bancroft,n,bncrft,ab,PN,famous
ernest borgnine,rnst,brgn,eb,PN,famous
leslie caron,lsl,crn,lc,PN,famous
john cassavetes,jhn,csvts,jc,PN,famous
charles durning,chrls,drng,cd,PN,famous
joel grey,jl,gr,jg,PN,famous
robert loggia,rbrt,lg,rl,PN,famous
patty mccormack,pt,mcrmck,pm,PN,famous
maggie mcnamara,mg,mcnmr,mm,PN,famous
sal mineo,sl,mn,sm,PN,famous
carroll o'connor,crl,'cnr,co,PN,famous
george peppard,grg,prd,gp,PN,famous
jason robards,jsn,rbrds,jr,PN,famous
robert shaw,rbrt,shw,rs,PN,famous
rod steiger,rd,stgr,rs,PN,famous
cicely tyson,cl,tsn,ct,PN,famous
stuart whitman,strt,whtmn,sw,PN,famous
carroll baker,crl,bkr,cb,PN,famous
sandy dennis,snd,dns,sd,PN,famous
robert duvall,rbrt,dvl,rd,PN,famous
george hamilton,grg,hmltn,gh,PN,famous
geraldine page,grldn,pg,gp,PN,famous
anne ramsey,n,rms,ar,PN,famous
maggie smith,mg,smth,ms,PN,famous
barbara barrie,brbr,br,bb,PN,famous
michael v. gazzo,mchl,gz,check,PN,famous
james earl jones,jms,jns,check,PN,famous
shirley jones,shrl,jns,sj,PN,famous
shirley maclaine,shrl,mcln,sm,PN,famous
paul mazursky,pl,mzrsk,pm,PN,famous
steve mcqueen,stv,mcqn,sm,PN,famous
ron moody,rn,md,rm,PN,famous
anthony perkins,nthn,prkns,ap,PN,famous
rachel roberts,rchl,rbrts,rr,PN,famous
miyoshi umeki,msh,mk,mu,PN,famous
christopher walken,chrstphr,wlkn,cw,PN,famous
geneviève bujold,gnvèv,bjld,gb,PN,famous
